Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Astrid,Dahlberg,Ekgränd 73,Uddevalla,45239,Sverige,SE,19830720-6138,+46,018-997 52 20,1983-07-20,True
Ulrika,Nilsson,Parkgränd 765,Skövde,39067,Sverige,SE,19790724-7365,+46,0028-92 77 53,1979-07-24,True
Anneli,Ollikainen,Kuhankeittäjänpolku 930,Kouvola,75630,Finland,FI,19560630-727U,+358,0512377165,1956-06-30,True
Erika,Nilsson,Skogsvägen 1,Östersund,33543,Sverige,SE,19671107-7247,+46,08-220 00 42,1967-11-07,True
Jorunn,Nilsen,Solheimstubben 3,Linnsund,8009,Norge,NO,19850729-2043,+47,93174390,1985-07-29,True
Erik,Eriksson,Skogstorget 927,Luleå,35082,Sverige,SE,19550406-1000,+46,+46 (0)8 644 216 27,1955-04-06,True
Louise,Larsson,Furugränd 13,Varberg,30473,Sverige,SE,20000927-5891,+46,028-511 54 74,2000-09-27,True
Sverre,Birkeland,Haugenvika 939,Saraøy,2298,Norge,NO,19510323-2581,+47,87 88 99 09,1951-03-23,True
Annika,Ljungberg,Grangatan 12,Motala,52846,Sverige,SE,19470725-7551,+46,0826-310 61,1947-07-25,True
Alf,Eriksson,Genvägen 989,Uddevalla,59977,Sverige,SE,19740419-3368,+46,005-105 98 90,1974-04-19,True
Claes,Eliasson,Industrigatan 972,Kalmar,75356,Sverige,SE,19640524-1543,+46,08-785 095 68,1964-05-24,True
Oscar,Karlsson,Kvarnstigen 383,Motala,22405,Sverige,SE,19790125-5644,+46,018-877 72 80,1979-01-25,True
Lars,Nilsson,Parkgatan 29,Trollhättan,33478,Sverige,SE,19650711-7377,+46,0384-209 09,1965-07-11,True
May,Rønning,Hellandengen 70,Aune,3573,Norge,NO,19560409-9628,+47,934 86 558,1956-04-09,True
Alice,Johannesson,Fabriksgatan 6,Halmstad,21387,Sverige,SE,19500322-5108,+46,096-75 28 28,1950-03-22,True
Thomas,Pacheco,Bryan Mill 22703,Caseybury,82143,Danmark,DK,19770711-7002,+45,389-375-1752,1977-07-11,True
Andrea,Williams,Cody Oval 127,Howardside,39554,Danmark,DK,19870319-1998,+45,(388)427-5895x466,1987-03-19,True
Jordan,Flores,Ward Squares 9859,West Sarabury,47532,Danmark,DK,19811005-1570,+45,294-473-3236,1981-10-05,True
Katarina,Johansson,Stationsstigen 0,Karlskrona,98357,Danmark,SE,19520831-3024,+46,037-458 24 23,1952-08-31,True
Terrence,Howard,Valerie Forge 3871,North Stephenland,59872,Danmark,DK,19490919-0727,+45,624-396-5949,1949-09-19,True
May,Johannessen,Mathisenmyra 77,Haugland,5573,Norge,NO,19730808-6102,+47,67 07 11 32,1973-08-08,True
Johan,Johansson,Ängsvägen 915,Borås,95241,Sverige,SE,19710830-8728,+46,08-728 906 37,1971-08-30,True
Jenny,Nielsen,Bøeeggen 017,Sivø,0980,Norge,NO,19650509-8991,+47,24 01 54 69,1965-05-09,True
Kerstin,Persson,Ängsstigen 196,Helsingborg,78919,Sverige,SE,19460915-4744,+46,08-746 936 25,1946-09-15,True
Anna,Gustafsson,Strandgatan 507,Skövde,70312,Sverige,SE,19511010-6825,+46,+46 (0)90 53 45 94,1951-10-10,True
Sander,Brekke,Johannessenbakken 92G,Jørgensen,7796,Norge,NO,19790412-6013,+47,40108603,1979-04-12,True
Adam,Johansson,Kvarnvägen 86,Borås,20599,Sverige,SE,19641208-1600,+46,08-444 010 44,1964-12-08,True
Carl,Axelsson,Stationsvägen 624,Halmstad,65689,Sverige,SE,19610805-4592,+46,0777-321 58,1961-08-05,True
Geir,Tveit,Ellingsenvika 4,Mikkelsen,4978,Norge,NO,19550923-8952,+47,08 50 98 61,1955-09-23,True
Sakari,Koivisto,Jämsänkatu 67,Pyhäjoki,72784,Finland,FI,19850207-566W,+358,+358 237897851,1985-02-07,True
Göran,Lindberg,Skolstigen 98,Stockholm,20874,Sverige,SE,19920916-3402,+46,+46 (0)8 275 181 99,1992-09-16,True
Sigvard,Olofsson,Bäckgränd 899,Nyköping,77569,Sverige,SE,19541117-5208,+46,083-925 73 56,1954-11-17,True
Bo,Sjöberg,Järnvägsstigen 053,Piteå,56495,Sverige,SE,19531217-7714,+46,0463-93 81 87,1953-12-17,True
Justin,Romero,Kristen Spurs 751,East Christopherview,21467,Danmark,DK,19450617-3655,+45,+1-661-537-8917x6336,1945-06-17,True
Åke,Petersson,Skogsvägen 66,Lidköping,45142,Sverige,SE,19510115-2455,+46,+46 (0)96 26 07 39,1951-01-15,True
Jorunn,Antonsen,Thomassenjordet 5,Kjerstigrunn,9270,Norge,NO,19680222-9414,+47,+47 39 25 03 19,1968-02-22,True
Lars,Nilsson,Kvarngatan 85,Lidköping,73373,Sverige,SE,19660217-0362,+46,0778-500 45,1966-02-17,True
Elise,Rønning,Jakobsengata 90,Haugland,6995,Norge,NO,19620820-6695,+47,994 51 828,1962-08-20,True
Sven,Nordström,Bäckgränd 04,Mölndal,38502,Sverige,SE,19440515-8029,+46,077-00 01 95,1944-05-15,True
Viola,Bergström,Björkgatan 94,Borlänge,33024,Sverige,SE,19450701-8241,+46,08-87 23 61,1945-07-01,True
Birgit,Nilsson,Skolgränd 65,Lidingö,29016,Sverige,SE,19680326-5071,+46,049-504 87 26,1968-03-26,True
Richard,Andersson,Kvarnstigen 0,Jönköping,25250,Sverige,SE,19520910-3696,+46,08-861 416 75,1952-09-10,True
Samuel,Ketola,Laurinniitynbulevardi 8,Hämeenkyrö,49806,Finland,FI,19670413-863E,+358,+358928788940,1967-04-13,True
Stian,Andersen,Bakkeengen 5,Adrianfoss,9471,Norge,NO,19981129-7453,+47,35501417,1998-11-29,True
Bengt,Carlsson,Fabriksgatan 0,Luleå,13728,Sverige,SE,19860526-8451,+46,021-526 05 60,1986-05-26,True
Morten,Olsen,Bakkengjerdet 3,Helgeborg,1546,Norge,NO,19560309-6098,+47,49894453,1956-03-09,True
Siv,Axelsson,Ekvägen 3,Falun,66660,Sverige,SE,19671103-7792,+46,0955-85 75 69,1967-11-03,True
Erik,Andersson,Idrottsstigen 2,Växjö,55759,Sverige,SE,19750406-6293,+46,+46 (0)68 49 21 17,1975-04-06,True
Rut,Johansson,Storgatan 5,Sandviken,40050,Sverige,SE,19841205-6053,+46,+46 (0)611 053 40,1984-12-05,True
Alf,Karlsson,Strandtorget 6,Eskilstuna,14798,Sverige,SE,19501126-4354,+46,08-398 718 46,1950-11-26,True
Anna,Andersson,Parktorget 6,Ängelholm,67220,Sverige,SE,19440517-0972,+45,011-744 39 59,1944-05-17,True
Alexandria,Phillips,Barrett Row 366,West Bradview,05336,Danmark,DK,19460210-3568,+45,001-313-728-5235x6065,1946-02-10,True
Per,Olsson,Fabrikstorget 28,Borås,91859,Sverige,SE,19781206-5947,+46,+46 (0)47 97 07 43,1978-12-06,True
Helena,Nilsson,Granvägen 4,Helsingborg,42365,Sverige,SE,19410910-9859,+46,0013-37 68 94,1941-09-10,True
Elisabeth,Larsson,Grangatan 6,Malmö,10100,Sverige,SE,19490906-2389,+46,08-052 852 36,1949-09-06,True
Roy,Moe,Abrahamsenstykket 01,Mathisen,6704,Norge,NO,19800511-3562,+47,418 12 588,1980-05-11,True
Ulla,Karlsson,Villagatan 40,Umeå,63764,Sverige,SE,19960706-6587,+46,08-636 50 30,1996-07-06,True
Lisa,Nilsson,Backvägen 0,Mölndal,39226,Sverige,SE,19650710-9647,+46,+46 (0)20 89 97 43,1965-07-10,True
Kalle,Korhonen,Nikonbulevardi 58,Haapavesi,29496,Finland,FI,19600927-2748,+358,(+358) 579284131,1960-09-27,True
Jonathan,Carter,Singh Island 53162,Edwardtown,38960,Danmark,DK,19790315-2184,+45,+1-620-308-5586x008,1979-03-15,True
Nils,Gustafsson,Furustigen 3,Stockholm,48604,Sverige,SE,19541201-3676,+46,0484-99 34 32,1954-12-01,True
Wenche,Vik,Solheimlyngen 18D,Karlsen,4602,Norge,NO,19771114-1768,+47,46336698,1977-11-14,True
Marte,Fredriksen,Hauglandsvingen 747,Næss,4044,Norge,NO,19820523-7983,+47,22332589,1982-05-23,True
Gro,Aune,Dahleggen 1,Astridhavn,2200,Norge,NO,19790304-3990,+47,45019724,1979-03-04,True
David,Moore,Alison Spurs 70065,West Nicholasstad,01944,Danmark,DK,19960531-7748,+45,534.669.9282,1996-05-31,True
Anna,Lindgren,Ektorget 2,Trollhättan,93631,Sverige,SE,19740105-3101,+46,08-267 617 62,1974-01-05,True
Kenneth,Vazquez,Joshua Trail 864,Port Kristenstad,85325,Danmark,DK,19771215-7937,+45,513.872.3956x17943,1977-12-15,True
Øyvind,Jacobsen,Kristoffersenbråten 877,Ellensjøen,3559,Norge,NO,19590414-8661,+47,+47 84 82 07 61,1959-04-14,True
Magnus,Holmström,Aspvägen 5,Göteborg,96000,Sverige,SE,19641226-0114,+46,+46 (0)133 193 20,1964-12-26,True
Petri,Määttä,Vaarnakatu 972,Raahe,82429,Finland,FI,19701013-045W,+358,063 779 6313,1970-10-13,True
Lauren,Bell,Jason Village 4178,New Michaelside,52930,Danmark,DK,19650507-2587,+45,865-836-8147,1965-05-07,True
Ingeborg,Hauge,Andersenstykket 30,Moe,4396,Norge,NO,19460828-8970,+47,91679767,1946-08-28,True
Margit,Andersson,Stationsstigen 08,Borlänge,86294,Sverige,SE,19710122-7442,+46,0896-50 00 88,1971-01-22,True
Sofia,Berglund,Skolgatan 157,Luleå,41780,Sverige,SE,19410826-2715,+46,08-037 227 83,1941-08-26,True
Martin,Isaksen,Rasmussenstubben 4,Tveit,2317,Norge,NO,19981013-4198,+47,91205570,1998-10-13,True
Tuulikki,Leskinen,Uunisepäntie 38,Raasepori,00396,Finland,FI,19510107-036W,+358,+358596221070,1951-01-07,True
Lennart,Eriksson,Parkstigen 09,Örebro,59906,Sverige,SE,19410123-0964,+46,+46 (0)286 522 25,1941-01-23,True
Kelsey,Brewer,Garrett Centers 596,Codyfurt,39585,Danmark,DK,19900228-1034,+45,342-727-3961,1990-02-28,True
Ulla,Olsson,Kyrkstigen 7,Gävle,31636,Sverige,SE,19440711-3960,+46,+46 (0)24 74 81 08,1944-07-11,True
Yngve,Blom,Järnvägsgränd 4,Karlskrona,59368,Sverige,SE,19831228-4780,+46,+46 (0)8 324 966 13,1983-12-28,True
Jessica,Johansson,Villatorget 633,Eskilstuna,50401,Sverige,SE,19980610-5759,+46,+46 (0)8 460 387 03,1998-06-10,True
Sirpa,Juntunen,Yrjö-Koskisen polku 4,Oripää,99365,Finland,FI,19820524-1695,+358,096 405 0078,1982-05-24,True
Inger,Karlsson,Skogsgränd 236,Karlskoga,86187,Sverige,SE,19810310-1960,+46,042-929 41 56,1981-03-10,True
Bianca,Watson,Zachary Prairie 5339,Lewisville,27933,Danmark,DK,19970707-9183,+45,298-590-8652,1997-07-07,True
Wenche,Ellingsen,Hansenplassen 87,Simensand,3141,Norge,NO,19670203-8787,+47,10352528,1967-02-03,True
Rita,Lie,Tangenlyngen 5,Strøm,9010,Norge,NO,19881108-5293,+47,+4702275731,1988-11-08,True
Knut,Olsen,Bergelyngen 8,Henrikdal,1399,Norge,NO,19800930-2612,+47,+4727853428,1980-09-30,True
Jan,Ekman,Idrottsgatan 8,Skövde,47249,Sverige,SE,19490313-8904,46,08-052 39 90,1949-03-13,True
Ingvar,Andersson,Parkgatan 154,Växjö,10208,Sverige,SE,19610128-7174,+46,075-91 02 27,1961-01-28,True
Gro,Nygård,Paulsenekra 4H,Oddfjell,8656,Norge,NO,19580802-1202,+47,99755840,1958-08-02,True
Tuomas,Koistinen,Wecksellinkuja 100,Eckerö,37539,Finland,FI,19540724-101Y,+358,(+358) 246797375,1954-07-24,True
William,Moses,Krueger Parkway 4047,Kevinfort,17553,Danmark,DK,19400224-0491,+45,+1-488-657-2165x794,1940-02-24,True
Maria,Persson,Skolgatan 213,Borlänge,32833,Sverige,SE,19681117-2532,+46,08-848 91 95,1968-11-17,True
Aukusti,Kinnunen,Capellan puistobulevardi 94,Padasjoki,59671,Norge,FI,19701130-8380,+358,+358848447537,1970-11-30,True
Linda,Vikström,Kyrkstigen 64,Skövde,35625,Sverige,SE,19530605-8382,+46,046-639 11 85,1953-06-05,True
Sharon,Whitaker,Brown Grove 523,Port Janettown,44870,Danmark,DK,19430820-2833,+45,369.600.7497x701,1943-08-20,True
Donna,Hubbard,Nguyen Isle 79751,Hopkinsfort,11304,Danmark,DK,19901227-9347,+45,965-433-1218x49234,1990-12-27,True
Inger,Danielsson,Villagatan 8,Landskrona,87908,Sverige,SE,19580721-0078,+46,017-90 77 29,1958-07-21,True
Gerd,Oskarsson,Trädgårdsgatan 593,Malmö,50844,Sverige,SE,19850826-2870,+46,0690-064 85,1985-08-26,False
Håvard,Mikkelsen,Johansenringen 917,Kristensen,0073,Norge,NO,19700104-9151,+47,436 33 696,1970-01-04,True
Miika,Hänninen,Salakkatie 3,Laukaa,67514,Finland,FI,19881104-2099,+358,026 602 3832,1988-11-04,True
Hanna,Olsen,Tveitlunden 78,Kristensen,7490,Norge,NO,19680705-4553,+47,482 92 814,1968-07-05,True
Åke,Lundgren,Åkergränd 0,Uppsala,91322,Sverige,SE,19850318-4404,+46,08-451 93 94,1985-03-18,True
Berit,Jonsson,Genvägen 0,Alingsås,90006,Sverige,SE,19650928-7395,+46,08-006 15 35,1965-09-28,True
Frank,Johnson,Key Island 78262,Lake Rebeccashire,23273,Danmark,DK,19701023-8139,+45,(901)652-4599,1970-10-23,True
Ola,Paulsson,Trädgårdsgatan 0,Stockholm,21917,Sverige,SE,19400831-7366,+46,08-451 202 77,1940-08-31,True
Gro,Madsen,Bakkegrenda 93D,Tangen,8916,Norge,NO,19880519-1003,+47,459 80 923,1988-05-19,True
Brian,Meza,Scott Junctions 56718,Williamsfurt,36892,Danmark,DK,20001214-5685,+45,(699)204-6371,2000-12-14,True
Debra,Williams,Bradley Brooks 3775,Jamesburgh,93188,Danmark,DK,19700723-0170,+45,846.428.7661x0419,1970-07-23,True
Sofia,Andersson,Ängsgränd 12,Mölndal,26621,Sverige,SE,19760920-2419,+46,08-92 65 67,1976-09-20,True
Jan,Lindberg,Ängsstigen 685,Kristianstad,86598,Sverige,SE,19590523-0052,+46,08-95 27 46,1959-05-23,True
Marita,Andersson,Parkvägen 8,Karlskrona,63042,Sverige,SE,19410224-0123,+46,+46 (0)8 712 067 60,1941-02-24,True
Laila,Wallin,Aspgatan 7,Malmö,62605,Sverige,SE,19600512-3175,+46,069-50 53 68,1960-05-12,True
Richard,Wood,Emma Skyway 47355,Millerburgh,32466,Danmark,DK,19871125-6447,45,970.306.1152x017,1987-11-25,True
Johan,Berglund,Strandgränd 2,Uddevalla,73537,Sverige,SE,19800103-4385,+46,+46 (0)770 624 50,1980-01-03,True
Tina,White,Shelton Trail 798,Melanieport,14279,Danmark,DK,19650730-8225,+45,001-971-962-5529x6621,1965-07-30,True
Joseph,Bradley,Joshua Bridge 232,Brittneyfort,89213,Danmark,DK,19960414-5346,+45,283-579-5847x4674,1996-04-14,True
Jessica,Ramsey,Brenda Prairie 324,Romanland,46038,Danmark,DK,19620801-7164,+45,216-203-9084,1962-08-01,True
John,Montgomery,Ellis Road 0267,Caitlinshire,74521,Danmark,DK,19560211-8398,+45,001-471-688-5105x8049,1956-02-11,True
William,Bergström,Fabriksstigen 0,Lidingö,50344,Sverige,SE,19580411-7013,+46,08-042 410 12,1958-04-11,True
Karl,Nilsson,Industrivägen 4,Ängelholm,28950,Sverige,SE,19490403-5050,+46,0891-440 41,1949-04-03,True
Julie,Murillo,Daniels Loaf 547,Jerryside,39120,Danmark,DK,19880214-4660,+45,491.404.7822,1988-02-14,True
John,Karlsson,Kvarnvägen 665,Örebro,25057,Sverige,SE,19581224-9890,+46,08-508 061 40,1958-12-24,True
Elsa,Eriksson,Parkstigen 5,Karlskoga,32963,Sverige,SE,19530512-5714,+46,08-32 33 96,1953-05-12,True
Philip,Dahl,Strandgränd 41,Mölndal,40436,Sverige,SE,19880809-5207,+46,+46 (0)946 890 99,1988-08-09,True
Irene,Nyström,Skolgatan 9,Jönköping,55051,Sverige,SE,19600420-6578,+46,08-580 93 15,1960-04-20,True
Felicia,Johansson,Industrigränd 49,Lidingö,94245,Sverige,SE,19610831-4921,+46,004-752 54 78,1961-08-31,True
Ingrid,Andersson,Ringstigen 256,Sundsvall,68648,Sverige,SE,19990215-4277,+46,+46 (0)704 498 45,1999-02-15,True
Tony,Adams,Davis Crossroad 4246,Lake Ashleyfurt,80543,Danmark,DK,19771012-6064,45,688-241-6124x7352,1977-10-12,True
Melinda,Valdez,Natalie Road 455,Walterhaven,27272,Danmark,DK,19891019-0236,+45,886.320.5156,1989-10-19,True
Gabriel,Cameron,Veronica Lake 53312,North Melissafurt,37016,Danmark,DK,19410222-2832,+45,+1-912-734-3904,1941-02-22,True
Charlotte,Berglund,Ekstigen 2,Kristianstad,69902,Sverige,SE,19410607-1294,+46,0912-971 97,1941-06-07,True
Amanda,Nyberg,Skolvägen 09,Trollhättan,25354,Sverige,SE,19670407-1478,+46,+46 (0)46 20 23 22,1967-04-07,True
Elsa,Karlsson,Järnvägsvägen 74,Trelleborg,50014,Sverige,SE,20000406-9614,+46,+46 (0)36 85 25 43,2000-04-06,True
Mikael,Sjödin,Stortorget 9,Norrköping,69497,Sverige,SE,19670519-8812,+46,0500-90 13 06,1967-05-19,True
Tor,Fredriksen,Bakkevika 193,Nielsen,5926,Norge,NO,19730719-0537,+47,+4711198320,1973-07-19,True
Heidi,Matikainen,Gustav Pauligin bulevardi 495,Lieto,97940,Finland,FI,19780220-287M,+358,+358 03 6245189,1978-02-20,True
Ragnhild,Christensen,Jensenberget 70,Paulsen,7785,Norge,NO,19650228-4011,+47,44183886,1965-02-28,True
Heikki,Laaksonen,Ehrensvärdintie 01,Heinola,28429,Finland,FI,19720809-613B,+358,+358 237306597,1972-08-09,True
Birgitta,Lindholm,Industritorget 5,Motala,34631,Sverige,SE,19940918-8307,+46,012-167 34 44,1994-09-18,True
David,Mathis,Karen Coves 3915,Port Caseyton,12344,Danmark,DK,19400916-9368,+45,001-897-669-4973x51221,1940-09-16,True
Edwin,Krueger,Joseph Cape 64946,Lake Daniel,11256,Danmark,DK,19901004-3855,+45,001-370-555-7942,1990-10-04,True
May,Fredriksen,Solbergstubben 9,Thomashamn,8172,Norge,NO,20000224-8581,+47,404 63 541,2000-02-24,True
Joakim,Eriksson,Parktorget 703,Falun,84148,Sverige,SE,19970413-3482,+46,004-876 99 98,1997-04-13,True
Devon,Bailey,Martin Lights 989,West Michaelport,99488,Danmark,DK,19660512-0306,+45,480.980.0257,1966-05-12,True
Björn,Lundin,Björkgatan 8,Luleå,65775,Sverige,SE,19910913-6319,+46,047-350 79 43,1991-09-13,True
Morten,Engen,Fredriksenhavna 80A,Sanderås,2510,Norge,NO,19520614-6321,+47,19309104,1952-06-14,True
Folke,Vikström,Stationsgatan 2,Lidingö,37774,Sverige,SE,19920608-4500,+46,08-32 85 57,1992-06-08,True
Chelsea,Moran,Rowe Tunnel 7563,Port Amytown,40070,Danmark,DK,19851129-5167,+45,767.509.5166x7831,1985-11-29,True
Per,Bengtsson,Fabriksvägen 361,Umeå,87247,Sverige,SE,19670311-7453,+46,0760-882 48,1967-03-11,True
Maria,Lindqvist,Stationstorget 33,Gävle,92854,Sverige,SE,19920819-1799,+46,+46 (0)633 315 05,1992-08-19,True
Marte,Pettersen,Nygårdløkka 5,Christensen,2215,Norge,NO,19681022-2699,+47,04758243,1968-10-22,True
Eva,Fransson,Skolgränd 07,Halmstad,40501,Sverige,SE,19751104-3184,+46,078-50 93 25,1975-11-04,True
Christian,Rosén,Kyrkvägen 95,Jönköping,68895,Sverige,SE,19990522-8954,+46,0447-22 76 07,1999-05-22,True
Anthony,Pierce,Day Green 929,Katherinebury,04448,Danmark,DK,19470511-7378,+45,580.491.0998x6119,1947-05-11,True
Ove,Gustafsson,Parkvägen 4,Luleå,73351,Sverige,SE,19870309-5374,+46,+46 (0)644 594 59,1987-03-09,True
Sven,Nilsson,Järnvägsvägen 08,Piteå,63082,Sverige,SE,19781012-1739,+46,090-96 89 87,1978-10-12,True
Stephen,Burch,Watson Parks 399,Reesemouth,13359,Danmark,DK,19690201-5696,+45,(659)639-8524x4554,1969-02-01,True
Jenni,Jaakkola,Jägerhornintie 849,Iitti,18386,Finland,FI,19611012-5861,+358,0605517739,1961-10-12,True
Karl,Nygård,Iversenkroken 69,Nygård,4475,Norge,NO,19431026-8536,+47,40814572,1943-10-26,True
Steinar,Lien,Thomassenlia 34,Berntsen,4904,Norge,NO,19550729-1794,+47,41175685,1955-07-29,True
Nicole,Morris,Glover Roads 12100,Port Lisa,11661,Danmark,DK,19611104-0666,+45,742-518-3404x4276,1961-11-04,True
Aaron,Massey,Maldonado Extension 12144,Hollyton,15318,Danmark,DK,19870115-1032,+45,244-355-6645,1987-01-15,True
Mathias,Andersson,Bäckgatan 079,Västerås,43397,Sverige,SE,19740129-0421,+46,083-63 69 68,1974-01-29,True
Jacob,Karlsson,Kvarntorget 503,Trollhättan,91650,Sverige,SE,19770922-6831,+46,015-451 09 30,1977-09-22,True
Roger,Kristiansen,Aasskrenten 11,Simenodden,0010,Norge,NO,19780628-9027,+47,974 86 275,1978-06-28,True
Shannon,Mclaughlin,Amy Wells 186,Guerraburgh,97632,Danmark,DK,19450507-1936,+45,001-203-216-1670x2350,1945-05-07,True
Erik,Boman,Åkertorget 4,Örnsköldsvik,39062,Sverige,SE,19690527-3709,+46,+46 (0)8 094 472 16,1969-05-27,True
Elisabet,Nilsson,Aspvägen 7,Borlänge,14247,Sverige,SE,19420610-9953,+46,+46 (0)18 45 41 29,1942-06-10,True
Jessica,Allen,Mccoy Valleys 5992,Lake Alexisberg,74186,Danmark,DK,19610330-5328,+45,398-516-0508,1961-03-30,True
Thomas,Johansson,Industristigen 209,Karlskoga,23892,Sverige,SE,19840130-3249,+46,+46 (0)8 909 907 12,1984-01-30,True
Peter,Isaksson,Idrottsvägen 061,Varberg,52907,Sverige,SE,19631015-1386,+46,+46 (0)136 496 10,1963-10-15,True
Wenche,Dahl,Bakkekroken 62A,Johannessen,9674,Norge,NO,19850710-1458,+47,23198906,1985-07-10,True
Eivind,Gulbrandsen,Nilsenmoen 6E,Joakimhelle,3076,Norge,NO,19430811-2211,+47,495 52 755,1943-08-11,True
Gunnar,Nilsson,Parkgatan 2,Södertälje,91703,Sverige,SE,19670922-3737,+46,08-208 018 91,1967-09-22,True
Lars,Hagen,Johansenåsen 25,Eliassen,2052,Norge,NO,19780906-2229,+47,930 42 517,1978-09-06,True
Desiree,Garcia,Thornton Trafficway 9003,Port Miranda,84132,Danmark,DK,19460727-2368,+45,4205190123,1946-07-27,True
Ola,Thorsen,Birkelandskogen 77,Vegardberg,0939,Norge,NO,19400512-0090,+47,944 16 041,1940-05-12,True
Lars,Gustafsson,Furuvägen 034,Västerås,31859,Sverige,SE,19690918-6487,+46,08-377 808 44,1969-09-18,True
Elisabeth,Blomqvist,Åkerstigen 46,Skellefteå,24970,Sverige,SE,19500228-9376,+46,006-946 47 53,1950-02-28,True
Kenneth,Viklund,Järnvägsvägen 9,Stockholm,42491,Sverqge,SE,19430526-0194,+46,093-646 01 83,1943-05-26,True
Elin,Lund,Gundersentoppen 3,Grethefjell,0776,Norge,NO,19821013-3737,+47,90 35 10 82,1982-10-13,True
Maria,Ågren,Trädgårdsstigen 21,Borlänge,95870,Sverige,SE,19490212-3443,+46,0804-927 33,1949-02-12,True
Andreas,Jansson,Gengatan 764,Landskrona,23687,Sverige,SE,19571224-0972,+46,038-848 86 94,1957-12-24,True
Christoffer,Karlsson,Skolvägen 9,Umeå,19611,Sverige,SE,19911218-5176,+46,022-371 35 22,1991-12-18,True
Jonathan,Gonzalez,Todd Flats 15547,New Mark,86044,Danmark,DK,19580112-3073,+45,001-393-657-2402x82941,1958-01-12,True
Robert,Antonsen,Henriksenholtet 7,Pettervåg,9403,Norge,NO,19890111-3351,+47,+47 80 70 66 86,1989-01-11,True
Bertil,Nilsson,Skolgatan 20,Kalmar,30964,Sverige,SE,19730413-8885,+46,+46 (0)84 23 85 50,1973-04-13,True
Anne,Seppänen,Eduskuntakatu 337,Eckerö,13649,Finland,FI,19570619-219D,+358,0310322484,1957-06-19,True
Leif,Brekke,Tangenlunden 9,Camillafjord,4459,Norge,NO,19650219-4928,+47,90635380,1965-02-19,True
Caroline,Moberg,Villagatan 8,Örnsköldsvik,54169,Sverige,SE,19940830-9413,+46,+46 (0)71 75 12 04,1994-08-30,True
Emma,Edvardsen,Thorseneggen 09,Alexanderberg,9249,Norge,NO,19730812-2359,+47,74 48 44 05,1973-08-12,True
Samuel,Baldwin,Davis Via 848,Christinaland,04825,Danmark,DK,20000918-1600,+45,001-538-228-2965,2000-09-18,True
Tobias,Bøe,Mikkelsenstubben 68C,Siljehavn,1691,Norge,NO,19681217-7621,+47,+4754044387,1968-12-17,True
Mona,Mikkelsen,Christensenalléen 3,Ali,3300,Norge,NO,19810806-0832,+47,33 87 48 78,1981-08-06,True
Jukka,Pulkkinen,Gunnel Nymanin tie 16,Rautalampi,56054,Finland,FI,19970221-7163,+358,045 540 7684,1997-02-21,True
Maria,Berg,Nygatan 2,Skövde,58431,Sverige,SE,19750410-9494,+46,078-76 59 35,1975-04-10,True
Chase,Alvarado,Martin Squares 01634,Bradfordberg,70110,Danmark,DK,19400831-9796,+45,209.607.1803,1940-08-31,True
Peter,Gunnarsson,Aspvägen 55,Alingsås,27465,Sverige,SE,19630813-5799,+46,+46 (0)425 861 95,1963-08-13,True
Britt-Marie,Jansson,Kvarngatan 4,Sundsvall,76865,Sverige,SE,19950502-0811,+46,+46 (0)8 232 101 53,1995-05-02,True
Emelie,Pålsson,Järnvägsgatan 0,Eskilstuna,87683,Sverige,SE,19800827-1379,+46,0088-480 22,1980-08-27,True
Ingmar,Persson,Nystigen 00,Lidköping,71245,Sverige,SE,19820926-5304,+46,0500-34 95 13,1982-09-26,True
Olov,Andersson,Parkvägen 1,Sundsvall,72824,Sverige,SE,19930420-0369,+46,+46 (0)8 426 889 76,1993-04-20,True
Kristoffer,Sandvik,Aunehaugen 8,Gunneid,4798,Norge,NO,19410902-4805,+47,79 45 00 69,1941-09-02,True
Hanna,Birkeland,Antonsenstubben 6E,Henriksen,3099,Norge,NO,19980915-4319,+47,95724654,1998-09-15,True
Daniel,Evensen,Dahlgrenda 4B,Nygård,9307,Norge,NO,19830729-9829,+47,900 69 338,1983-07-29,True
Silje,Lie,Rønningåsen 68B,Metteberg,5818,Norge,NO,19550924-4499,+47,+47 36 92 01 66,1955-09-24,True
Laila,Strøm,Kristoffersenberget 29F,Martinmark,1462,Norge,NO,19480805-5115,+47,43472525,1948-08-05,True
Jouko,Peltonen,Eerik Pyhän tie 06,Juuka,90954,Finland,FI,19401217-817J,+358,0751324162,1940-12-17,True
Viktoria,Andersson,Gengatan 97,Jönköping,48714,Sverige,SE,19490524-8833,+46,08-230 513 60,1949-05-24,True
Sofia,Nilsson,Furuvägen 432,Landskrona,83396,Sverige,SE,19470519-8351,+46,08-05 81 74,1947-05-19,True
Daniel,Andersson,Bäckvägen 57,Skellefteå,34098,Sverige,SE,19741102-9120,+46,08-980 85 34,1974-11-02,True
Stig,Karlsen,Jørgensenstubben 44,Grethegrunn,0623,Norge,NO,19400407-3324,+47,27714692,1940-04-07,True
Eva,Mårtensson,Parktorget 71,Motala,43292,Sverige,SE,19800323-1534,+46,+46 (0)331 279 86,1980-03-23,True
Karl,Nilsson,Industrigatan 6,Stockholm,95615,Sverige,SE,19780120-0979,+46,063-156 71 97,1978-01-20,True
